number,pokemon_name,type_main,type_sub,height,weight,generation,bmi,description_main,description_sub,category,ability_main,ability_sub,weaknesses,hp,attack,defense,sp.atk,sp.def,speed,total,evolutions,evolution_type,hidden_ability,evolution_list_index
1,Bulbasaur,Grass,Poison,0.7,6.9,1.0,14.1,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.,"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.",Seed,Overgrow,,"['Fire', 'Psychic', 'Flying', 'Ice']",45.0,49.0,49.0,65.0,65.0,45.0,318.0,"['Bulbasaur', 'Ivysaur', 'Venusaur']",3 stages evolution,Chlorophyll,"['001', '002', '003']"
2,Ivysaur,Grass,Poison,1.0,13.0,1.0,13.0,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.,Seed,Overgrow,,"['Fire', 'Psychic', 'Flying', 'Ice']",60.0,62.0,63.0,80.0,80.0,60.0,405.0,"['Bulbasaur', 'Ivysaur', 'Venusaur']",3 stages evolution,Chlorophyll,"['001', '002', '003']"
3,Venusaur,Grass,Poison,2.0,100.0,1.0,25.0,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.,Seed,Overgrow,,"['Fire', 'Psychic', 'Flying', 'Ice']",80.0,82.0,83.0,100.0,100.0,80.0,525.0,"['Bulbasaur', 'Ivysaur', 'Venusaur']",3 stages evolution,Chlorophyll,"['001', '002', '003']"
4,Charmander,Fire,,0.6,8.5,1.0,23.6,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.","From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.",Lizard,Blaze,,"['Water', 'Ground', 'Rock']",39.0,52.0,43.0,60.0,50.0,65.0,309.0,"['Charmander', 'Charmeleon', 'Charizard']",3 stages evolution,Solar Power,"['004', '005', '006']"
5,Charmeleon,Fire,,1.1,19.0,1.0,15.7,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.","If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.",Flame,Blaze,,"['Water', 'Ground', 'Rock']",58.0,64.0,58.0,80.0,65.0,80.0,405.0,"['Charmander', 'Charmeleon', 'Charizard']",3 stages evolution,Solar Power,"['004', '005', '006']"
6,Charizard,Fire,Flying,1.7,90.5,1.0,31.3,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.,"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.",Flame,Blaze,,"['Water', 'Electric']",78.0,84.0,78.0,109.0,85.0,100.0,534.0,"['Charmander', 'Charmeleon', 'Charizard']",3 stages evolution,Solar Power,"['004', '005', '006']"
7,Squirtle,Water,,0.5,9.0,1.0,36.0,"When it retracts its long neck into its shell, it squirts out water with vigorous force.","When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth.",Tiny Turtle,Torrent,,"['Grass', 'Electric']",44.0,48.0,65.0,50.0,64.0,43.0,314.0,"['Squirtle', 'Wartortle', 'Blastoise']",3 stages evolution,Rain Dish,"['007', '008', '009']"
8,Wartortle,Water,,1.0,22.5,1.0,22.5,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old.",It cleverly controls its furry ears and tail to maintain its balance while swimming.,Turtle,Torrent,,"['Grass', 'Electric']",59.0,63.0,80.0,65.0,80.0,58.0,405.0,"['Squirtle', 'Wartortle', 'Blastoise']",3 stages evolution,Rain Dish,"['007', '008', '009']"
9,Blastoise,Water,,1.6,85.5,1.0,33.4,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.,Shellfish,Torrent,,"['Grass', 'Electric']",79.0,83.0,100.0,85.0,105.0,78.0,530.0,"['Squirtle', 'Wartortle', 'Blastoise']",3 stages evolution,Rain Dish,"['007', '008', '009']"
10,Caterpie,Bug,,0.3,2.9,1.0,32.2,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies.",Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,Worm,Shield Dust,,"['Fire', 'Flying', 'Rock']",45.0,30.0,35.0,20.0,20.0,45.0,195.0,"['Caterpie', 'Metapod', 'Butterfree']",3 stages evolution,Run Away,"['010', '011', '012']"
11,Metapod,Bug,,0.7,9.9,1.0,20.2,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack.","Even though it is encased in a sturdy shell, the body inside is tender. It can’t withstand a harsh attack.",Cocoon,Shed Skin,,"['Fire', 'Flying', 'Rock']",50.0,20.0,55.0,25.0,25.0,30.0,205.0,"['Caterpie', 'Metapod', 'Butterfree']",3 stages evolution,,"['010', '011', '012']"
